No,1depth,2depth,3depth,4depth,5depth,6depth,팝업,모바일,구현상태,설명,비고(변경 Δ)
0.1,메인 홈페이지,,,,,,,O,구현,랜딩: 메인 문구·주요기능 설명·성과 수치·시작하기 btn,서비스명 1KUP→KUP
0.1.1,,상단 GNB 우측,시작하기 / 로그인,,,,,O,구현,시작하기·로그인 진입,
0.1.1.1,,,서비스 온보딩(로그인 후),,,,O,O,구현,"워크스페이스 이동 후 온보딩 팝업(캐러셀 3개: 이미지+타이틀+설명), [닫기]",GIF는 색상 플레이스홀더로 대체
0.1.2,,,로그인,이메일 로그인 / 아이디·비번 찾기,,,,O,부분,이메일 로그인 구현,아이디·비번 찾기 = 예정
0.1.2.1,,,,구글 연동 로그인,,,,O,스텁,구글 로그인 — 실제 OAuth 아님(모의 로그인),
0.1.2.2,,,,비회원으로 이용,,,O,O,구현,비회원 워크스페이스로 이동,
0.1.3,,,회원가입,,,,O,O,구현,이메일/구글 가입,
0.1.3.1,,,,이메일 가입,,,O,O,구현,약관 동의 + 양식,
0.1.3.2,,,,구글 연동 가입,,,O,O,스텁,구글 가입(모의),
0.1.4,,상단 GNB 좌측,로고,,,,,O,구현,메인 홈페이지로 이동,
0.1.4.1,,,주요 기능,,,,,O,구현,주요 기능 페이지(/features),릴스 추가 반영
0.1.5,,,요금제,,,,O,O,구현,요금제 페이지(/pricing),
0.1.5.1,,,,결제 페이지,,,O,O,스텁,구독 즉시 적용(결제 모의),결제는 시뮬레이션 유지
0.1.6,,,문의하기,,,,O,O,구현,구글폼 링크(FAQ 오류 접수),링크 플레이스홀더
0.1.7,,하단 FNB,사이트맵·약관·정보,,,,,O,구현,이용약관·개인정보·고객센터(요약본),
0.2,워크스페이스,,,,,,,O,구현,로그인 후 영역,
0.2.0,,워크스페이스 홈(개요),,,,,,O,구현,[신규] /app/home — 로그인 후 첫 화면: 운영단계·이번주 루틴·streak·팔로워 챌린지·연동계정·바로할일·미니칸반,★원 IA에 없던 신규 화면
0.2.1,,상단 Header,계정 연동하기,,,,O,O,구현,"미연동 시 안내, 연동 페이지(/app/accounts). OAuth/토큰 연결(비번 미보관), 다중 계정",Instagram 로그인 방식 토큰 연동 실구현
0.2.2,,,요금제,,,,O,O,구현,현재 상태 안내·3플랜표(베이직/프로/프리미엄)·월연 토글(연 30%)·비교,결제 자체는 스텁
0.2.2.1,,,,구독하기,,,O,O,스텁,결제 팝업 → 즉시 적용(PG 미연동),
0.2.3,,좌측 사이드바,연동 인스타 계정,,,,,O,구현,다중 계정 연동/활성 전환. 테스터(시뮬)/정식(실발행),★실발행 구현
0.2.3.1,,,AI 기획 및 제작,기획 리스트(테이블),,,,O,구현,No·형식·장수·타이틀·서브타이틀+본문·(제작하러가기/업로드하기). 기획 추가,"★형식에 릴스 추가, 목적에 팔로우·댓글 추가"
